会社名,URL,役職,氏名
オリジン東秀株式会社,https://www.toshu.co.jp/_uploads/news/20240418_jinji.pdf,役員情報なし,情報なし
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,代表取締役社長,久野　貴久
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,代表取締役,尾上　秀俊
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,取締役,小林　新
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,取締役,三枝　理人
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,取締役,岡野　良治
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,取締役,佐藤　将祐
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外取締役,山本　功
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外取締役,江藤　尚美
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外取締役,志濟　聡子
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常勤監査役,大場　克仁
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常勤監査役,渡辺　信行
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外監査役,草道　倫武
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外監査役,水口　啓子
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,専務執行役員,岡　雅彦
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,斉藤　孝博
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,寺口　太二
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,小池　賢二
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,竹島　智春
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,野中　公陽
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,瀬川　高志
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,久馬　仁
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,川邊　修
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,井上　勝司
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,関口　和洋
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,森　貴幸
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,上原　秀隆
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,三木　浩嗣
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,横山　英治
ケイエス冷凍食品株式会社,https://www.ks-frozen.co.jp/company/press/pdf/company_20231117.pdf,役員情報なし,情報なし
三和油脂株式会社,https://sanwa-yushi.co.jp/about/,代表取締役社長,山口 與左衛門
三和油脂株式会社,https://sanwa-yushi.co.jp/about/,取締役副社長,山口 高明
三和油脂株式会社,https://sanwa-yushi.co.jp/about/,常務取締役,松田 彰
三和油脂株式会社,https://sanwa-yushi.co.jp/about/,取締役,佐藤 幸二
三和油脂株式会社,https://sanwa-yushi.co.jp/about/,取締役,髙橋 りな
三和油脂株式会社,https://sanwa-yushi.co.jp/about/,執行役員,山口 芳明
三和油脂株式会社,https://sanwa-yushi.co.jp/about/,執行役員,江口 正春
